x, y, z
2,5.6667,-0.078947
2,5.8889,-0.078947
2,6.1111,-0.078947
2,6.3333,-0.078947
2,6.5556,-0.078947
2,6.7778,-0.078947
2,7,-0.078947
2.1667,5,-0.078947
2.1667,5.2222,-0.078947
2.1667,5.4444,-0.078947
2.1667,5.6667,-0.078947
2.1667,5.8889,-0.078947
2.1667,6.1111,-0.078947
2.1667,6.3333,-0.078947
2.1667,6.5556,-0.078947
2.1667,6.7778,-0.078947
2.1667,7,-0.078947
2.3333,5,-0.078947
2.3333,5.2222,-0.078947
2.3333,5.4444,-0.078947
2.3333,5.6667,-0.078947
2.3333,5.8889,-0.078947
2.3333,6.1111,-0.078947
2.3333,6.3333,-0.078947
2.3333,6.5556,-0.078947
2.3333,6.7778,-0.078947
2.3333,7,-0.078947
2.5,5,-0.078947
2.5,5.2222,-0.078947
2.5,5.4444,-0.078947
2.5,5.6667,-0.078947
2.5,5.8889,-0.078947
2.5,6.1111,-0.078947
2.5,6.3333,-0.078947
2.5,6.5556,-0.078947
2.5,6.7778,-0.078947
2.5,7,-0.078947
1,5,0.078947
1,5.2222,0.078947
1,5.4444,0.078947
1,5.6667,0.078947
1,5.8889,0.078947
1,6.1111,0.078947
1,6.3333,0.078947
1,6.5556,0.078947
1,6.7778,0.078947
1,7,0.078947
1.1667,5,0.078947
1.1667,5.2222,0.078947
1.1667,5.4444,0.078947
1.1667,5.6667,0.078947
1.1667,5.8889,0.078947
1.1667,6.1111,0.078947
1.1667,6.3333,0.078947
1.1667,6.5556,0.078947
1.1667,6.7778,0.078947
1.1667,7,0.078947
1.3333,5,0.078947
1.3333,5.2222,0.078947
1.3333,5.4444,0.078947
1.3333,5.6667,0.078947
1.3333,5.8889,0.078947
1.3333,6.1111,0.078947
1.3333,6.3333,0.078947
1.3333,6.5556,0.078947
1.3333,6.7778,0.078947
1.3333,7,0.078947
1.5,5,0.078947
1.5,5.2222,0.078947
1.5,5.4444,0.078947
1.5,5.6667,0.078947
1.5,5.8889,0.078947
1.5,6.1111,0.078947
1.5,6.3333,0.078947
1.5,6.5556,0.078947
1.5,6.7778,0.078947
1.5,7,0.078947
1.6667,5,0.078947
1.6667,5.2222,0.078947
1.6667,5.4444,0.078947
1.6667,5.6667,0.078947
1.6667,5.8889,0.078947
1.6667,6.1111,0.078947
1.6667,6.3333,0.078947
1.6667,6.5556,0.078947
1.6667,6.7778,0.078947
1.6667,7,0.078947
1.8333,5,0.078947
1.8333,5.2222,0.078947
1.8333,5.4444,0.078947
1.8333,5.6667,0.078947
1.8333,5.8889,0.078947
1.8333,6.1111,0.078947
1.8333,6.3333,0.078947
1.8333,6.5556,0.078947
1.8333,6.7778,0.078947
1.8333,7,0.078947
2,5,0.078947
2,5.2222,0.078947
2,5.4444,0.078947
2,5.6667,0.078947
2,5.8889,0.078947
2,6.1111,0.078947
2,6.3333,0.078947
2,6.5556,0.078947
2,6.7778,0.078947
2,7,0.078947
2.1667,5,0.078947
2.1667,5.2222,0.078947
2.1667,5.4444,0.078947
2.1667,5.6667,0.078947
2.1667,5.8889,0.078947
2.1667,6.1111,0.078947
2.1667,6.3333,0.078947
2.1667,6.5556,0.078947
2.1667,6.7778,0.078947
2.1667,7,0.078947
2.3333,5,0.078947
2.3333,5.2222,0.078947
2.3333,5.4444,0.078947
2.3333,5.6667,0.078947
2.3333,5.8889,0.078947
2.3333,6.1111,0.078947
2.3333,6.3333,0.078947
2.3333,6.5556,0.078947
2.3333,6.7778,0.078947
2.3333,7,0.078947
2.5,5,0.078947
2.5,5.2222,0.078947
2.5,5.4444,0.078947
2.5,5.6667,0.078947
2.5,5.8889,0.078947
2.5,6.1111,0.078947
2.5,6.3333,0.078947
2.5,6.5556,0.078947
2.5,6.7778,0.078947
2.5,7,0.078947
1,5,0.23684
1,5.2222,0.23684
1,5.4444,0.23684
1,5.6667,0.23684
1,5.8889,0.23684
1,6.1111,0.23684
1,6.3333,0.23684
1,6.5556,0.23684
1,6.7778,0.23684
1,7,0.23684
1.1667,5,0.23684
1.1667,5.2222,0.23684
1.1667,5.4444,0.23684
1.1667,5.6667,0.23684
1.1667,5.8889,0.23684
1.1667,6.1111,0.23684
1.1667,6.3333,0.23684
1.1667,6.5556,0.23684
1.1667,6.7778,0.23684
1.1667,7,0.23684
1.3333,5,0.23684
1.3333,5.2222,0.23684
1.3333,5.4444,0.23684
1.3333,5.6667,0.23684
1.3333,5.8889,0.23684
1.3333,6.1111,0.23684
1.3333,6.3333,0.23684
1.3333,6.5556,0.23684
1.3333,6.7778,0.23684
1.3333,7,0.23684
1.5,5,0.23684
1.5,5.2222,0.23684
1.5,5.4444,0.23684
1.5,5.6667,0.23684
1.5,5.8889,0.23684
1.5,6.1111,0.23684
1.5,6.3333,0.23684
1.5,6.5556,0.23684
1.5,6.7778,0.23684
1.5,7,0.23684
1.6667,5,0.23684
1.6667,5.2222,0.23684
1.6667,5.4444,0.23684
1.6667,5.6667,0.23684
1.6667,5.8889,0.23684
1.6667,6.1111,0.23684
1.6667,6.3333,0.23684
1.6667,6.5556,0.23684
1.6667,6.7778,0.23684
1.6667,7,0.23684
1.8333,5,0.23684
1.8333,5.2222,0.23684
1.8333,5.4444,0.23684
1.8333,5.6667,0.23684
1.8333,5.8889,0.23684
1.8333,6.1111,0.23684
1.8333,6.3333,0.23684
1.8333,6.5556,0.23684
1.8333,6.7778,0.23684
1.8333,7,0.23684
2,5,0.23684
2,5.2222,0.23684
2,5.4444,0.23684
2,5.6667,0.23684
2,5.8889,0.23684
2,6.1111,0.23684
2,6.3333,0.23684
2,6.5556,0.23684
2,6.7778,0.23684
2,7,0.23684
2.1667,5,0.23684
2.1667,5.2222,0.23684
2.1667,5.4444,0.23684
2.1667,5.6667,0.23684
2.1667,5.8889,0.23684
2.1667,6.1111,0.23684
2.1667,6.3333,0.23684
2.1667,6.5556,0.23684
2.1667,6.7778,0.23684
2.1667,7,0.23684
2.3333,5,0.23684
2.3333,5.2222,0.23684
2.3333,5.4444,0.23684
2.3333,5.6667,0.23684
2.3333,5.8889,0.23684
2.3333,6.1111,0.23684
2.3333,6.3333,0.23684
2.3333,6.5556,0.23684
2.3333,6.7778,0.23684
2.3333,7,0.23684
2.5,5,0.23684
2.5,5.2222,0.23684
2.5,5.4444,0.23684
2.5,5.6667,0.23684
2.5,5.8889,0.23684
2.5,6.1111,0.23684
2.5,6.3333,0.23684
2.5,6.5556,0.23684
2.5,6.7778,0.23684
2.5,7,0.23684
1,5,0.39474
1,5.2222,0.39474
1,5.4444,0.39474
1,5.6667,0.39474
1,5.8889,0.39474
1,6.1111,0.39474
1,6.3333,0.39474
1,6.5556,0.39474
1,6.7778,0.39474
1,7,0.39474
1.1667,5,0.39474
1.1667,5.2222,0.39474
1.1667,5.4444,0.39474
1.1667,5.6667,0.39474
1.1667,5.8889,0.39474
1.1667,6.1111,0.39474
1.1667,6.3333,0.39474
1.1667,6.5556,0.39474
1.1667,6.7778,0.39474
1.1667,7,0.39474
1.3333,5,0.39474
1.3333,5.2222,0.39474
1.3333,5.4444,0.39474
1.3333,5.6667,0.39474
1.3333,5.8889,0.39474
1.3333,6.1111,0.39474
1.3333,6.3333,0.39474
1.3333,6.5556,0.39474
1.3333,6.7778,0.39474
1.3333,7,0.39474
1.5,5,0.39474
1.5,5.2222,0.39474
1.5,5.4444,0.39474
1.5,5.6667,0.39474
1.5,5.8889,0.39474
1.5,6.1111,0.39474
1.5,6.3333,0.39474
1.5,6.5556,0.39474
1.5,6.7778,0.39474
1.5,7,0.39474
1.6667,5,0.39474
1.6667,5.2222,0.39474
1.6667,5.4444,0.39474
1.6667,5.6667,0.39474
1.6667,5.8889,0.39474
1.6667,6.1111,0.39474
1.6667,6.3333,0.39474
1.6667,6.5556,0.39474
1.6667,6.7778,0.39474
1.6667,7,0.39474
1.8333,5,0.39474
1.8333,5.2222,0.39474
1.8333,5.4444,0.39474
1.8333,5.6667,0.39474
1.8333,5.8889,0.39474
1.8333,6.1111,0.39474
1.8333,6.3333,0.39474
1.8333,6.5556,0.39474
1.8333,6.7778,0.39474
1.8333,7,0.39474
2,5,0.39474
2,5.2222,0.39474
2,5.4444,0.39474
2,5.6667,0.39474
2,5.8889,0.39474
2,6.1111,0.39474
2,6.3333,0.39474
2,6.5556,0.39474
2,6.7778,0.39474
2,7,0.39474
2.1667,5,0.39474
2.1667,5.2222,0.39474
2.1667,5.4444,0.39474
2.1667,5.6667,0.39474
2.1667,5.8889,0.39474
2.1667,6.1111,0.39474
2.1667,6.3333,0.39474
2.1667,6.5556,0.39474
2.1667,6.7778,0.39474
2.1667,7,0.39474
2.3333,5,0.39474
2.3333,5.2222,0.39474
2.3333,5.4444,0.39474
2.3333,5.6667,0.39474
2.3333,5.8889,0.39474
2.3333,6.1111,0.39474
2.3333,6.3333,0.39474
2.3333,6.5556,0.39474
2.3333,6.7778,0.39474
2.3333,7,0.39474
2.5,5,0.39474
2.5,5.2222,0.39474
2.5,5.4444,0.39474
2.5,5.6667,0.39474
2.5,5.8889,0.39474
2.5,6.1111,0.39474
2.5,6.3333,0.39474
2.5,6.5556,0.39474
2.5,6.7778,0.39474
2.5,7,0.39474
1,5,0.55263
1,5.2222,0.55263
1,5.4444,0.55263
1,5.6667,0.55263
1,5.8889,0.55263
1,6.1111,0.55263
1,6.3333,0.55263
1,6.5556,0.55263
1,6.7778,0.55263
1,7,0.55263
1.1667,5,0.55263
1.1667,5.2222,0.55263
1.1667,5.4444,0.55263
1.1667,5.6667,0.55263
1.1667,5.8889,0.55263
1.1667,6.1111,0.55263
1.1667,6.3333,0.55263
1.1667,6.5556,0.55263
1.1667,6.7778,0.55263
1.1667,7,0.55263
1.3333,5,0.55263
1.3333,5.2222,0.55263
1.3333,5.4444,0.55263
1.3333,5.6667,0.55263
1.3333,5.8889,0.55263
1.3333,6.1111,0.55263
1.3333,6.3333,0.55263
1.3333,6.5556,0.55263
1.3333,6.7778,0.55263
1.3333,7,0.55263
1.5,5,0.55263
1.5,5.2222,0.55263
1.5,5.4444,0.55263
1.5,5.6667,0.55263
1.5,5.8889,0.55263
1.5,6.1111,0.55263
1.5,6.3333,0.55263
1.5,6.5556,0.55263
1.5,6.7778,0.55263
1.5,7,0.55263
1.6667,5,0.55263
1.6667,5.2222,0.55263
1.6667,5.4444,0.55263
1.6667,5.6667,0.55263
1.6667,5.8889,0.55263
1.6667,6.1111,0.55263
1.6667,6.3333,0.55263
1.6667,6.5556,0.55263
1.6667,6.7778,0.55263
1.6667,7,0.55263
1.8333,5,0.55263
1.8333,5.2222,0.55263
1.8333,5.4444,0.55263
1.8333,5.6667,0.55263
1.8333,5.8889,0.55263
1.8333,6.1111,0.55263
1.8333,6.3333,0.55263
1.8333,6.5556,0.55263
1.8333,6.7778,0.55263
1.8333,7,0.55263
2,5,0.55263
2,5.2222,0.55263
2,5.4444,0.55263
2,5.6667,0.55263
2,5.8889,0.55263
2,6.1111,0.55263
2,6.3333,0.55263
2,6.5556,0.55263
2,6.7778,0.55263
2,7,0.55263
2.1667,5,0.55263
2.1667,5.2222,0.55263
2.1667,5.4444,0.55263
2.1667,5.6667,0.55263
2.1667,5.8889,0.55263
2.1667,6.1111,0.55263
2.1667,6.3333,0.55263
2.1667,6.5556,0.55263
2.1667,6.7778,0.55263
2.1667,7,0.55263
2.3333,5,0.55263
2.3333,5.2222,0.55263
2.3333,5.4444,0.55263
2.3333,5.6667,0.55263
2.3333,5.8889,0.55263
2.3333,6.1111,0.55263
2.3333,6.3333,0.55263
2.3333,6.5556,0.55263
2.3333,6.7778,0.55263
2.3333,7,0.55263
2.5,5,0.55263
2.5,5.2222,0.55263
2.5,5.4444,0.55263
2.5,5.6667,0.55263
2.5,5.8889,0.55263
2.5,6.1111,0.55263
2.5,6.3333,0.55263
2.5,6.5556,0.55263
2.5,6.7778,0.55263
2.5,7,0.55263
1,5,0.71053
1,5.2222,0.71053
1,5.4444,0.71053
1,5.6667,0.71053
1,5.8889,0.71053
1,6.1111,0.71053
1,6.3333,0.71053
1,6.5556,0.71053
1,6.7778,0.71053
1,7,0.71053
1.1667,5,0.71053
1.1667,5.2222,0.71053
1.1667,5.4444,0.71053
1.1667,5.6667,0.71053
1.1667,5.8889,0.71053
1.1667,6.1111,0.71053
1.1667,6.3333,0.71053
1.1667,6.5556,0.71053
1.1667,6.7778,0.71053
1.1667,7,0.71053
1.3333,5,0.71053
1.3333,5.2222,0.71053
1.3333,5.4444,0.71053
1.3333,5.6667,0.71053
1.3333,5.8889,0.71053
1.3333,6.1111,0.71053
1.3333,6.3333,0.71053
1.3333,6.5556,0.71053
1.3333,6.7778,0.71053
1.3333,7,0.71053
1.5,5,0.71053
1.5,5.2222,0.71053
1.5,5.4444,0.71053
1.5,5.6667,0.71053
1.5,5.8889,0.71053
1.5,6.1111,0.71053
1.5,6.3333,0.71053
1.5,6.5556,0.71053
1.5,6.7778,0.71053
1.5,7,0.71053
1.6667,5,0.71053
1.6667,5.2222,0.71053
1.6667,5.4444,0.71053
1.6667,5.6667,0.71053
1.6667,5.8889,0.71053
1.6667,6.1111,0.71053
1.6667,6.3333,0.71053
1.6667,6.5556,0.71053
1.6667,6.7778,0.71053
1.6667,7,0.71053
1.8333,5,0.71053
1.8333,5.2222,0.71053
1.8333,5.4444,0.71053
1.8333,5.6667,0.71053
1.8333,5.8889,0.71053
1.8333,6.1111,0.71053
1.8333,6.3333,0.71053
1.8333,6.5556,0.71053
1.8333,6.7778,0.71053
1.8333,7,0.71053
2,5,0.71053
2,5.2222,0.71053
2,5.4444,0.71053
2,5.6667,0.71053
2,5.8889,0.71053
2,6.1111,0.71053
2,6.3333,0.71053
2,6.5556,0.71053
2,6.7778,0.71053
2,7,0.71053
2.1667,5,0.71053
2.1667,5.2222,0.71053
2.1667,5.4444,0.71053
2.1667,5.6667,0.71053
2.1667,5.8889,0.71053
2.1667,6.1111,0.71053
2.1667,6.3333,0.71053
2.1667,6.5556,0.71053
2.1667,6.7778,0.71053
2.1667,7,0.71053
2.3333,5,0.71053
2.3333,5.2222,0.71053
2.3333,5.4444,0.71053
2.3333,5.6667,0.71053
2.3333,5.8889,0.71053
2.3333,6.1111,0.71053
2.3333,6.3333,0.71053
2.3333,6.5556,0.71053
2.3333,6.7778,0.71053
2.3333,7,0.71053
2.5,5,0.71053
2.5,5.2222,0.71053
2.5,5.4444,0.71053
2.5,5.6667,0.71053
2.5,5.8889,0.71053
2.5,6.1111,0.71053
2.5,6.3333,0.71053
2.5,6.5556,0.71053
2.5,6.7778,0.71053
2.5,7,0.71053
1,5,0.86842
1,5.2222,0.86842
1,5.4444,0.86842
1,5.6667,0.86842
1,5.8889,0.86842
1,6.1111,0.86842
1,6.3333,0.86842
1,6.5556,0.86842
1,6.7778,0.86842
1,7,0.86842
1.1667,5,0.86842
1.1667,5.2222,0.86842
1.1667,5.4444,0.86842
1.1667,5.6667,0.86842
1.1667,5.8889,0.86842
1.1667,6.1111,0.86842
1.1667,6.3333,0.86842
1.1667,6.5556,0.86842
1.1667,6.7778,0.86842
1.1667,7,0.86842
1.3333,5,0.86842
1.3333,5.2222,0.86842
1.3333,5.4444,0.86842
1.3333,5.6667,0.86842
1.3333,5.8889,0.86842
1.3333,6.1111,0.86842
1.3333,6.3333,0.86842
1.3333,6.5556,0.86842
1.3333,6.7778,0.86842
1.3333,7,0.86842
1.5,5,0.86842
1.5,5.2222,0.86842
1.5,5.4444,0.86842
1.5,5.6667,0.86842
1.5,5.8889,0.86842
1.5,6.1111,0.86842
1.5,6.3333,0.86842
1.5,6.5556,0.86842
1.5,6.7778,0.86842
1.5,7,0.86842
1.6667,5,0.86842
1.6667,5.2222,0.86842
1.6667,5.4444,0.86842
1.6667,5.6667,0.86842
1.6667,5.8889,0.86842
1.6667,6.1111,0.86842
1.6667,6.3333,0.86842
1.6667,6.5556,0.86842
1.6667,6.7778,0.86842
1.6667,7,0.86842
1.8333,5,0.86842
1.8333,5.2222,0.86842
1.8333,5.4444,0.86842
1.8333,5.6667,0.86842
1.8333,5.8889,0.86842
1.8333,6.1111,0.86842
1.8333,6.3333,0.86842
1.8333,6.5556,0.86842
1.8333,6.7778,0.86842
1.8333,7,0.86842
2,5,0.86842
2,5.2222,0.86842
2,5.4444,0.86842
2,5.6667,0.86842
2,5.8889,0.86842
2,6.1111,0.86842
2,6.3333,0.86842
2,6.5556,0.86842
2,6.7778,0.86842
2,7,0.86842
2.1667,5,0.86842
2.1667,5.2222,0.86842
2.1667,5.4444,0.86842
2.1667,5.6667,0.86842
2.1667,5.8889,0.86842
2.1667,6.1111,0.86842
2.1667,6.3333,0.86842
2.1667,6.5556,0.86842
2.1667,6.7778,0.86842
2.1667,7,0.86842
2.3333,5,0.86842
2.3333,5.2222,0.86842
2.3333,5.4444,0.86842
2.3333,5.6667,0.86842
2.3333,5.8889,0.86842
2.3333,6.1111,0.86842
2.3333,6.3333,0.86842
2.3333,6.5556,0.86842
2.3333,6.7778,0.86842
2.3333,7,0.86842
2.5,5,0.86842
2.5,5.2222,0.86842
2.5,5.4444,0.86842
2.5,5.6667,0.86842
2.5,5.8889,0.86842
2.5,6.1111,0.86842
2.5,6.3333,0.86842
2.5,6.5556,0.86842
2.5,6.7778,0.86842
2.5,7,0.86842
1,5,1.0263
1,5.2222,1.0263
1,5.4444,1.0263
1,5.6667,1.0263
1,5.8889,1.0263
1,6.1111,1.0263
1,6.3333,1.0263
1,6.5556,1.0263
1,6.7778,1.0263
1,7,1.0263
1.1667,5,1.0263
1.1667,5.2222,1.0263
1.1667,5.4444,1.0263
1.1667,5.6667,1.0263
1.1667,5.8889,1.0263
1.1667,6.1111,1.0263
1.1667,6.3333,1.0263
1.1667,6.5556,1.0263
1.1667,6.7778,1.0263
1.1667,7,1.0263
1.3333,5,1.0263
1.3333,5.2222,1.0263
1.3333,5.4444,1.0263
1.3333,5.6667,1.0263
1.3333,5.8889,1.0263
1.3333,6.1111,1.0263
1.3333,6.3333,1.0263
1.3333,6.5556,1.0263
1.3333,6.7778,1.0263
1.3333,7,1.0263
1.5,5,1.0263
1.5,5.2222,1.0263
1.5,5.4444,1.0263
1.5,5.6667,1.0263
1.5,5.8889,1.0263
1.5,6.1111,1.0263
1.5,6.3333,1.0263
1.5,6.5556,1.0263
1.5,6.7778,1.0263
1.5,7,1.0263
1.6667,5,1.0263
1.6667,5.2222,1.0263
1.6667,5.4444,1.0263
1.6667,5.6667,1.0263
1.6667,5.8889,1.0263
1.6667,6.1111,1.0263
1.6667,6.3333,1.0263
1.6667,6.5556,1.0263
1.6667,6.7778,1.0263
1.6667,7,1.0263
1.8333,5,1.0263
1.8333,5.2222,1.0263
1.8333,5.4444,1.0263
1.8333,5.6667,1.0263
1.8333,5.8889,1.0263
1.8333,6.1111,1.0263
1.8333,6.3333,1.0263
1.8333,6.5556,1.0263
1.8333,6.7778,1.0263
1.8333,7,1.0263
2,5,1.0263
2,5.2222,1.0263
2,5.4444,1.0263
2,5.6667,1.0263
2,5.8889,1.0263
2,6.1111,1.0263
2,6.3333,1.0263
2,6.5556,1.0263
2,6.7778,1.0263
2,7,1.0263
2.1667,5,1.0263
2.1667,5.2222,1.0263
2.1667,5.4444,1.0263
2.1667,5.6667,1.0263
2.1667,5.8889,1.0263
2.1667,6.1111,1.0263
2.1667,6.3333,1.0263
2.1667,6.5556,1.0263
2.1667,6.7778,1.0263
2.1667,7,1.0263
2.3333,5,1.0263
2.3333,5.2222,1.0263
2.3333,5.4444,1.0263
2.3333,5.6667,1.0263
2.3333,5.8889,1.0263
2.3333,6.1111,1.0263
2.3333,6.3333,1.0263
2.3333,6.5556,1.0263
2.3333,6.7778,1.0263
2.3333,7,1.0263
2.5,5,1.0263
2.5,5.2222,1.0263
2.5,5.4444,1.0263
2.5,5.6667,1.0263
2.5,5.8889,1.0263
2.5,6.1111,1.0263
2.5,6.3333,1.0263
2.5,6.5556,1.0263
2.5,6.7778,1.0263
2.5,7,1.0263
1,5,1.1842
1,5.2222,1.1842
1,5.4444,1.1842
1,5.6667,1.1842
1,5.8889,1.1842
1,6.1111,1.1842
1,6.3333,1.1842
1,6.5556,1.1842
1,6.7778,1.1842
1,7,1.1842
1.1667,5,1.1842
1.1667,5.2222,1.1842
1.1667,5.4444,1.1842
1.1667,5.6667,1.1842
1.1667,5.8889,1.1842
1.1667,6.1111,1.1842
1.1667,6.3333,1.1842
1.1667,6.5556,1.1842
1.1667,6.7778,1.1842
1.1667,7,1.1842
1.3333,5,1.1842
1.3333,5.2222,1.1842
1.3333,5.4444,1.1842
1.3333,5.6667,1.1842
1.3333,5.8889,1.1842
1.3333,6.1111,1.1842
1.3333,6.3333,1.1842
1.3333,6.5556,1.1842
1.3333,6.7778,1.1842
1.3333,7,1.1842
1.5,5,1.1842
1.5,5.2222,1.1842
1.5,5.4444,1.1842
1.5,5.6667,1.1842
1.5,5.8889,1.1842
1.5,6.1111,1.1842
1.5,6.3333,1.1842
1.5,6.5556,1.1842
1.5,6.7778,1.1842
1.5,7,1.1842
1.6667,5,1.1842
1.6667,5.2222,1.1842
1.6667,5.4444,1.1842
1.6667,5.6667,1.1842
1.6667,5.8889,1.1842
1.6667,6.1111,1.1842
1.6667,6.3333,1.1842
1.6667,6.5556,1.1842
1.6667,6.7778,1.1842
1.6667,7,1.1842
1.8333,5,1.1842
1.8333,5.2222,1.1842
1.8333,5.4444,1.1842
1.8333,5.6667,1.1842
1.8333,5.8889,1.1842
1.8333,6.1111,1.1842
1.8333,6.3333,1.1842
1.8333,6.5556,1.1842
1.8333,6.7778,1.1842
1.8333,7,1.1842
2,5,1.1842
2,5.2222,1.1842
2,5.4444,1.1842
2,5.6667,1.1842
2,5.8889,1.1842
2,6.1111,1.1842
2,6.3333,1.1842
2,6.5556,1.1842
2,6.7778,1.1842
2,7,1.1842
2.1667,5,1.1842
2.1667,5.2222,1.1842
2.1667,5.4444,1.1842
2.1667,5.6667,1.1842
2.1667,5.8889,1.1842
2.1667,6.1111,1.1842
2.1667,6.3333,1.1842
2.1667,6.5556,1.1842
2.1667,6.7778,1.1842
2.1667,7,1.1842
2.3333,5,1.1842
2.3333,5.2222,1.1842
2.3333,5.4444,1.1842
2.3333,5.6667,1.1842
2.3333,5.8889,1.1842
2.3333,6.1111,1.1842
2.3333,6.3333,1.1842
2.3333,6.5556,1.1842
2.3333,6.7778,1.1842
2.3333,7,1.1842
2.5,5,1.1842
2.5,5.2222,1.1842
2.5,5.4444,1.1842
2.5,5.6667,1.1842
2.5,5.8889,1.1842
2.5,6.1111,1.1842
2.5,6.3333,1.1842
2.5,6.5556,1.1842
2.5,6.7778,1.1842
2.5,7,1.1842
1,5,1.3421
1,5.2222,1.3421
1,5.4444,1.3421
1,5.6667,1.3421
1,5.8889,1.3421
1,6.1111,1.3421
1,6.3333,1.3421
1,6.5556,1.3421
1,6.7778,1.3421
1,7,1.3421
1.1667,5,1.3421
1.1667,5.2222,1.3421
1.1667,5.4444,1.3421
1.1667,5.6667,1.3421
1.1667,5.8889,1.3421
1.1667,6.1111,1.3421
1.1667,6.3333,1.3421
1.1667,6.5556,1.3421
1.1667,6.7778,1.3421
1.1667,7,1.3421
1.3333,5,1.3421
1.3333,5.2222,1.3421
1.3333,5.4444,1.3421
1.3333,5.6667,1.3421
1.3333,5.8889,1.3421
1.3333,6.1111,1.3421
1.3333,6.3333,1.3421
1.3333,6.5556,1.3421
1.3333,6.7778,1.3421
1.3333,7,1.3421
1.5,5,1.3421
1.5,5.2222,1.3421
1.5,5.4444,1.3421
1.5,5.6667,1.3421
1.5,5.8889,1.3421
1.5,6.1111,1.3421
1.5,6.3333,1.3421
1.5,6.5556,1.3421
1.5,6.7778,1.3421
1.5,7,1.3421
1.6667,5,1.3421
1.6667,5.2222,1.3421
1.6667,5.4444,1.3421
1.6667,5.6667,1.3421
1.6667,5.8889,1.3421
1.6667,6.1111,1.3421
1.6667,6.3333,1.3421
1.6667,6.5556,1.3421
1.6667,6.7778,1.3421
1.6667,7,1.3421
1.8333,5,1.3421
1.8333,5.2222,1.3421
1.8333,5.4444,1.3421
1.8333,5.6667,1.3421
1.8333,5.8889,1.3421
1.8333,6.1111,1.3421
1.8333,6.3333,1.3421
1.8333,6.5556,1.3421
1.8333,6.7778,1.3421
1.8333,7,1.3421
2,5,1.3421
2,5.2222,1.3421
2,5.4444,1.3421
2,5.6667,1.3421
2,5.8889,1.3421
2,6.1111,1.3421
2,6.3333,1.3421
2,6.5556,1.3421
2,6.7778,1.3421
2,7,1.3421
2.1667,5,1.3421
2.1667,5.2222,1.3421
2.1667,5.4444,1.3421
2.1667,5.6667,1.3421
2.1667,5.8889,1.3421
2.1667,6.1111,1.3421
2.1667,6.3333,1.3421
2.1667,6.5556,1.3421
2.1667,6.7778,1.3421
2.1667,7,1.3421
2.3333,5,1.3421
2.3333,5.2222,1.3421
2.3333,5.4444,1.3421
2.3333,5.6667,1.3421
2.3333,5.8889,1.3421
2.3333,6.1111,1.3421
2.3333,6.3333,1.3421
2.3333,6.5556,1.3421
2.3333,6.7778,1.3421
2.3333,7,1.3421
2.5,5,1.3421
2.5,5.2222,1.3421
2.5,5.4444,1.3421
2.5,5.6667,1.3421
2.5,5.8889,1.3421
2.5,6.1111,1.3421
2.5,6.3333,1.3421
2.5,6.5556,1.3421
2.5,6.7778,1.3421
2.5,7,1.3421
1,5,1.5
1,5.2222,1.5
1,5.4444,1.5
1,5.6667,1.5
1,5.8889,1.5
1,6.1111,1.5
1,6.3333,1.5
1,6.5556,1.5
1,6.7778,1.5
1,7,1.5
1.1667,5,1.5
1.1667,5.2222,1.5
1.1667,5.4444,1.5
1.1667,5.6667,1.5
1.1667,5.8889,1.5
1.1667,6.1111,1.5
1.1667,6.3333,1.5
1.1667,6.5556,1.5
1.1667,6.7778,1.5
1.1667,7,1.5
1.3333,5,1.5
1.3333,5.2222,1.5
1.3333,5.4444,1.5
1.3333,5.6667,1.5
1.3333,5.8889,1.5
1.3333,6.1111,1.5
1.3333,6.3333,1.5
1.3333,6.5556,1.5
1.3333,6.7778,1.5
1.3333,7,1.5
1.5,5,1.5
1.5,5.2222,1.5
1.5,5.4444,1.5
1.5,5.6667,1.5
1.5,5.8889,1.5
1.5,6.1111,1.5
1.5,6.3333,1.5
1.5,6.5556,1.5
1.5,6.7778,1.5
1.5,7,1.5
1.6667,5,1.5
1.6667,5.2222,1.5
1.6667,5.4444,1.5
1.6667,5.6667,1.5
1.6667,5.8889,1.5
1.6667,6.1111,1.5
1.6667,6.3333,1.5
1.6667,6.5556,1.5
1.6667,6.7778,1.5
1.6667,7,1.5
1.8333,5,1.5
1.8333,5.2222,1.5
1.8333,5.4444,1.5
1.8333,5.6667,1.5
1.8333,5.8889,1.5
1.8333,6.1111,1.5
1.8333,6.3333,1.5
1.8333,6.5556,1.5
1.8333,6.7778,1.5
1.8333,7,1.5
2,5,1.5
2,5.2222,1.5
2,5.4444,1.5
2,5.6667,1.5
2,5.8889,1.5
2,6.1111,1.5
2,6.3333,1.5
2,6.5556,1.5
2,6.7778,1.5
2,7,1.5
2.1667,5,1.5
2.1667,5.2222,1.5
2.1667,5.4444,1.5
2.1667,5.6667,1.5
2.1667,5.8889,1.5
2.1667,6.1111,1.5
2.1667,6.3333,1.5
2.1667,6.5556,1.5
2.1667,6.7778,1.5
2.1667,7,1.5
2.3333,5,1.5
2.3333,5.2222,1.5
2.3333,5.4444,1.5
2.3333,5.6667,1.5
2.3333,5.8889,1.5
2.3333,6.1111,1.5
2.3333,6.3333,1.5
2.3333,6.5556,1.5
2.3333,6.7778,1.5
2.3333,7,1.5
2.5,5,1.5
2.5,5.2222,1.5
2.5,5.4444,1.5
2.5,5.6667,1.5
2.5,5.8889,1.5
2.5,6.1111,1.5
